c,f,l,r,id
Koke,Jorge,Resurrección,85,193747
,David,Alaba,85,197445
,Raheem,Sterling,85,202652
,Virgil,van Dijk,85,203376
,Riyad,Mahrez,85,204485
Saúl,Saúl,Ñíguez Esclápez,85,208421
Fabinho,Fábio,Henrique Tavares,85,209499
,Joshua,Kimmich,85,212622
Alisson,Alisson,Ramses Becker,85,212831
,Nabil,Fekir,85,216594
Marco Asensio,Marco,Asensio Willemsen,85,220834
,Laurent,Blanc,85,222481
,Sergej,Milinković-Savić,85,223848
,Milan,Škriniar,85,232363
,Rio,Ferdinand,85,237065
,Emmanuel,Petit,85,238415
,Hernán,Crespo,85,238419
,Luis,Hernández,85,238421
Rui Costa,Rui Manuel,César Costa,85,238432
Deco,Anderson Luís,de Souza,85,239027
,Gheorghe,Hagi,85,239056
,Michael,Laudrup,85,239058
,Robert,Pirès,85,239070
,Filippo,Inzaghi,85,239072
,Jay-Jay,Okocha,85,239108
,Gianfranco,Zola,85,239110
,Jens,Lehmann,85,239112
,Jari,Litmanen,85,239115
,Hidetoshi,Nakata,85,242626
,Claude,Makélélé,85,242858
,Clarence,Seedorf,85,242928
,Gennaro,Gattuso,85,243031
Quaresma,Ricardo Andrade,Quaresma Bernardo,84,20775
,Andrea,Barzagli,84,137186
,Alejandro,Gómez,84,143076
Raúl Albiol,Raúl,Albiol Tortajada,84,157481
,Moussa,Dembélé,84,162240
Cesc Fàbregas,Francesc,Fàbregas i Soler,84,162895
,Kasper,Schmeichel,84,163587
,Karim,Benzema,84,165153
,Stéphane,Ruffier,84,167628
Sokratis,Sokratis,Papastathopoulos,84,172879
Jonas,Jonas,Gonçalves Oliveira,84,176769
,Dimitri,Payet,84,177388
Javi Martínez,Javier,Martínez Aginaga,84,177610
Sergio Asenjo,Sergio,Asenjo Andrés,84,178750
Willian,Willian,Borges da Silva,84,180403
,Mario,Mandžukić,84,181783
,Ángel,Di María,84,183898
José Callejón,José María,Callejón Bueno,84,185020
,Wojciech,Szczęsny,84,186153
,İlkay,Gündoğan,84,186942
,Kyle,Walker,84,188377
Illarramendi,Asier,Illarramendi,84,190584
,Lukáš,Hrádecký,84,190941
,Bernd,Leno,84,192563
,Henrikh,Mkhitaryan,84,192883
,Juan,Cuadrado,84,193082
,Alexandre,Lacazette,84,193301
Neto,Norberto,Murara Neto,84,194404
,Mattia,Perin,84,198009
,Stefan,de Vrij,84,198176
Rodrigo,Rodrigo,Moreno Machado,84,198329
,Anthony,Lopes,84,199482
Sergi Roberto,Sergio,Roberto Carnicer,84,199564
,Heung Min,Son,84,200104
Carvajal,Daniel,Carvajal Ramos,84,204963
,Florian,Thauvin,84,204970
Jorginho,Luiz Frello,Filho Jorge,84,205498
William Carvalho,William,Silva de Carvalho,84,207566
Marquinhos,Marcos,Aoás Corrêa,84,207865
,Dele,Alli,84,211117
,Niklas,Süle,84,212190
Alex Telles,Alex,Nicolao Telles,84,212462
,José María,Giménez,84,216460
Bernardo Silva,Bernardo Mota,Carvalho e Silva,84,218667
,Davinson,Sánchez,84,220793
Pepe Reina,José Manuel,Reina Páez,83,24630
,Daniele,De Rossi,83,53302
Aduriz,Aritz,Aduriz Zubeldia,83,106231
,Steve,Mandanda,83,163705
,Emiliano,Viviano,83,168354
Lucas Leiva,Lucas,Pezzini Leiva,83,176266
Rui Patrício,Rui Pedro,dos Santos Patrício,83,178005
Adán,Antonio,Adán Garrido,83,178086
Juan Mata,Juan Manuel,Mata García,83,178088
,Éver,Banega,83,178562
,Ralf,Fährmann,83,179783
David Luiz,David Luiz,Moreira Marinho,83,179944
Giuliano,Giuliano Victor,de Paula,83,184942
Luiz Gustavo,Luiz Gustavo,Dias,83,185221
,Mario,Balotelli,83,186627
,Bas,Dost,83,189068
,Shinji,Kagawa,83,189358
,Kevin,Strootman,83,189712
,Kamil,Glik,83,190547
,Danijel,Subašić,83,192593
,Oliver,Baumann,83,193698
Willian José,Willian José,da Silva,83,195093
Pizzi,Luis Miguel,Afonso Fernandes,83,197965
,Timo,Horn,83,200316
Nacho Fernández,José Ignacio,Fernández Iglesias,83,200724
Danilo Pereira,Danilo Luís,Hélio Pereira,83,200888
Morata,Álvaro Borja,Morata Martín,83,201153
,Julian,Draxler,83,202166
,Memphis,Depay,83,202556
,Stefan,Savić,83,204639
,Jordan,Pickford,83,204935
Manu Trigueros,Manuel,Trigueros Muñoz,83,206545
Kepa,Kepa,Arrizabalaga,83,206585
,Mateo,Kovačić,83,207410
Felipe,Felipe Augusto,de Almeida Monteiro,83,207863
Gerard Moreno,Gerard,Moreno Balagueró,83,208093
,Yannick,Carrasco,83,208418
Lucas Vázquez,Lucas,Vázquez Iglesias,83,208618
,Quincy,Promes,83,208808
,Leon,Goretzka,83,209658
,Adrien,Rabiot,83,210008
Samu Castillejo,Samuel,Castillejo Azuaga,83,210617
,Anthony,Martial,83,211300
,Timo,Werner,83,212188
Bruno Fernandes,Bruno Miguel,Borges Fernandes,83,212198
,Aymeric,Laporte,83,212218
,Jonathan,Tah,83,213331
,Kingsley,Coman,83,213345
,Thomas,Lemar,83,213565
,Corentin,Tolisso,83,219683
,Naby,Keïta,83,220971
Malcom,Malcom Filipe,Silva de Oliveira,83,222737
,Presnel,Kimpembe,83,225850
Gabriel Jesus,Gabriel,Fernando de Jesus,83,230666
Casillas,Iker,Casillas Fernández,82,5479
Joaquín,Joaquín,Sánchez Rodríguez,82,45186
,Petr,Čech,82,48940
,Rune Almenning,Jarstein,82,104389
David Villa,David,Villa Sánchez,82,113422
Dani Alves,Daniel,Alves da Silva,82,146530
,Lucas,Biglia,82,158963
,Andrea,Consigli,82,163489
,Laurent,Koscielny,82,165229
,Antonio,Valencia,82,167905
,Salvatore,Sirigu,82,168435
Jardel,Jardel,Nivaldo Vieira,82,168530
,Ezequiel,Garay,82,170481
,Andrés,Guardado,82,171897
,Daniel,Wass,82,172522
Marcano,Iván,Marcano Sierra,82,173521
,Axel,Witsel,82,177413
,Lars,Bender,82,177457
,Yann,Sommer,82,177683
,Olivier,Giroud,82,178509
,Federico,Fazio,82,179847
,Georginio,Wijnaldum,82,181291
,Vedran,Ćorluka,82,181786
,Adil,Rami,82,183280
,Ljubomir,Fejsa,82,183376
,Marco,Parolo,82,183498
,Max,Kruse,82,183574
,Jordan,Henderson,82,183711
,Nicolás,Gaitán,82,184144
,Marko,Arnautović,82,184200
,Sebastian,Giovinco,82,184431
,Gylfi,Sigurðsson,82,184484
,Aleksandar,Kolarov,82,185103
,Ömer,Toprak,82,185239
,Kieran,Trippier,82,186345
,Aaron,Ramsey,82,186561
Marlos,Marlos,Romero Bonfim,82,187754
,Steven,Nzonzi,82,187936
Oscar,Oscar,dos Santos Emboaba,82,188152
Taison,Taison,Barcellos Freda,82,188803
,Giacomo,Bonaventura,82,189125
Pedro,Pedro,Rodríguez Ledesma,82,189505
,Javier,Pastore,82,191180
Ander Herrera,Ander,Herrera Agüera,82,191740
,Shkodran,Mustafi,82,192227
,Mario,Götze,82,192318
Marcos Alonso,Marcos,Alonso Mendoza,82,192638
,Koen,Casteels,82,192984
Víctor Ruiz,Víctor,Ruiz Torre,82,193469
,Idrissa,Gueye,82,193474
,Kevin,Kampl,82,195365
,Sebastián,Coates,82,197655
Bartra,Marc,Bartra Aregall,82,198141
Jonathan Viera,Jonathan,Viera Ramos,82,198164
Luis Alberto,Luis Alberto,Romero Alconchel,82,198706
,Wilfried,Zaha,82,198717
,Cédric,Bakambu,82,198951
,Francesco,Acerbi,82,199845
Allan,Allan,Marques Loureiro,82,199914
Lucas,Lucas,Rodrigues M. Silva,82,200949
Gabriel Paulista,Gabriel,Armando de Abreu,82,201305
Rafinha,Rafael,Alcântara,82,201400
,Geoffrey,Kondogbia,82,201455
Felipe Anderson,Felipe Anderson,Pereira Gomes,82,201995
,Thomas,Meunier,82,202371
Suso,Jesús Joaquín,Fernández Sáez,82,202651
,Simone,Zaza,82,202685
,Harry,Maguire,82,203263
,Alessandro,Florenzi,82,203551
,John,Stones,82,203574
,Edin,Višća,82,205678
,Serge,Gnabry,82,206113
,Franco,Vázquez,82,207471
,Jesse,Lingard,82,207494
,Carlos,Bacca,82,207664
,Emil,Forsberg,82,208448
,Andrea,Belotti,82,208596
,Hakim,Ziyech,82,208670
,Jamie,Vardy,82,208830
Fred,Frederico,R. de Paula Santos,82,209297
,Thomas,Partey,82,209989
,Alessio,Romagnoli,82,210413
,Daniele,Rugani,82,211320
,Julian,Brandt,82,212194
,Federico,Bernardeschi,82,212404
Anderson Talisca,Anderson,Souza Conceição,82,212523
,Andreas,Christensen,82,213661
Dani García,Daniel,García Carrillo,82,216194
,Andrej,Kramarić,82,216354
,Jean Michaël,Seri,82,216451
,Clément,Lenglet,82,220440
,Lucas,Hernández,82,220814
Pau López,Pau,López Sabata,82,221087
Gonçalo Guedes,Gonçalo Manuel,Ganchinho Guedes,82,224411
,Eric,Bailly,82,225508
Gelson Martins,Gelson Dany,Batalha Martins,82,227055
,Leon,Bailey,82,229906
,Gianluigi,Donnarumma,82,230621
Arthur,Arthur Henrique,Ramos Oliveira Melo,82,230658
,Ousmane,Dembélé,82,231443
Rodri,Rodrigo,Hernández Cascante,82,231866
,Jiří,Pavlenka,82,236583
,Jérémy,Mathieu,81,112316
,James,Milner,81,138412
Raffael,Raffael Caetano,de Araújo,81,144622
,Mario,Gómez,81,150418
,Héctor,Herrera,81,156519
Manuel Fernandes,Manuel H.,Tavares Fernandes,81,157960
,Bafétimbi,Gomis,81,159145
Borja Valero,Borja,Valero Iglesias,81,161956
João Moutinho,João Filipe,Moutinho,81,162347
,Gary,Cahill,81,164468
,Martin,Škrtel,81,166706
Renato Augusto,Renato,Augusto,81,169195
,Carlos,Vela,81,169416
Raúl García,Raúl,García Escudero,81,171579
,Domenico,Criscito,81,173208
,Antonio,Candreva,81,173221
,Łukasz,Piszczek,81,173771
,Kevin-Prince,Boateng,81,173909
Pedro León,Pedro León,Sánchez Gil,81,175379
,Kévin,Gameiro,81,176600
,Mathieu,Valbuena,81,177326
,Sven,Bender,81,177458
,Benedikt,Höwedes,81,179784
Marcelo,Marcelo Antônio,Guedes Filho,81,180334
,Adam,Lallana,81,180819
,Anthony,Modeste,81,182212
,Fernando,Muslera,81,182494
,Diego,Perotti,81,183900
Bruno,Bruno,Soriano Llido,81,184120
,Lars,Stindl,81,187072
,Fedor,Smolov,81,187491
,Manuel,Lanzini,81,188988
,Roman,Bürki,81,189117
,Sebastian,Rudy,81,189251
Hulk,Givanildo,Vieira de Souza,81,189362
Iborra,Vicente,Iborra de la Fuente,81,189560
Guaita,Vicente,Guaita Panadero,81,189690
,Chris,Smalling,81,189881
,Stephan,El Shaarawy,81,190813
,Eduardo,Salvio,81,190972
Maicon,Maicon,Pereira Roque,81,191687
,Alphonse,Areola,81,193105
,Jesús,Corona,81,193165
,Xherdan,Shaqiri,81,193348
Mário Fernandes,Mário,Figueira Fernandes,81,193525
,Gary,Medel,81,193532
,Dejan,Lovren,81,195086
,Simone,Verdi,81,196889
,Joel,Matip,81,197061
,Serge,Aurier,81,197853
Pablo Sarabia,Pablo,Sarabia García,81,198950
,Charles,Aránguiz,81,199042
,Wissam,Ben Yedder,81,199451
,Granit,Xhaka,81,199503
Vitolo,Víctor,Machín Pérez,81,199715
,Jasper,Cillessen,81,199987
,Kevin,Volland,81,200610
,Josip,Iličić,81,200647
,Benjamin,Lecomte,81,200726
,Jeison,Murillo,81,201377
,Faouzi,Ghoulam,81,201454
,Salif,Sané,81,201956
Deulofeu,Gerard,Deulofeu Lázaro,81,202477
,Jack,Butland,81,203042
,Thorgan,Hazard,81,203486
,Šime,Vrsaljko,81,203890
,Christoph,Kramer,81,204024
,Michy,Batshuayi,81,204529
,Benjamin,Mendy,81,204884
,Marcel,Sabitzer,81,204923
,Matija,Nastasić,81,205362
,Antonio,Rüdiger,81,205452
,Ben,Davies,81,205923
,Josef,Martínez,81,207877
,Abdoulaye,Doucouré,81,208135
Grimaldo,Alejandro,Grimaldo García,81,210035
Ricardo Pereira,Ricardo,Barbosa Pereira,81,210243
João Cancelo,João Pedro,Cavaco Cancelo,81,210514
,Elseid,Hysaj,81,210864
João Mário,João Mário,Naval Costa Eduardo,81,212814
,Gerónimo,Rulli,81,215316
Williams,Iñaki,Williams Arthuer,81,216201
,Andrew,Robertson,81,216267
Morales,José Luis,Morales Nogales,81,216475
Fabián,Fabián,Ruiz Peña,81,226271
Pablo Fornals,Pablo,Fornals Malla,81,226456
,Marcus,Rashford,81,231677
,Stefano,Sorrentino,80,49031
Fernando Torres,Fernando José,Torres Sanz,80,49369
,Wayne,Rooney,80,54050
,Stephan,Lichtsteiner,80,108080
Moyá,Miguel Ángel,Moyá Rumbo,80,110677
,Bastian,Schweinsteiger,80,121944
Nani,Luís Carlos,Almeida da Cunha,80,139068
,Antonio,Mirante,80,140293
,Javier,Mascherano,80,142754
Santi Cazorla,Santiago,Cazorla González,80,146562
Diego López,Diego,López Rodríguez,80,146748
Juanfran,Juan Francisco,Torres Belén,80,146760
,Igor,Denisov,80,147782
,Igor,Akinfeev,80,148119
,Ashley,Young,80,152908
,André-Pierre,Gignac,80,153244
Dante,Dante Bonfim,Costa Santos,80,158625
,Loïc,Perrin,80,159147
,Fabio,Quagliarella,80,159261
,Tom,Heaton,80,163264
,Lassana,Diarra,80,163711
,Łukasz,Fabiański,80,164835
,Ştefan,Radu,80,165109
,Danny,Rose,80,169595
,Erik,Lamela,80,170368
,Steven,Defour,80,170815
,Daniel,Sturridge,80,171833
,Diego,Valeri,80,172114
,Sergio,Romero,80,173373
,Valter,Birsa,80,176104
,Ignacio,Piatti,80,176376
,Augusto,Fernández,80,176915
Beñat,Beñat,Etxebarria Urkiaga,80,177600
Nacho Monreal,Ignacio,Monreal Eraso,80,177604
Ángel,Ángel Luís,Rodríguez Díaz,80,177633
Kiko Casilla,Francisco,Casilla Cortés,80,177644
Fabricio,Fabricio,Agosto Ramírez,80,177723
Antunes,Vitorino,Pacheco Antunes,80,178424
Alexandre Pato,Alexandre,Rodrigues da Silva,80,180175
,Séamus,Coleman,80,180216
,Stevan,Jovetić,80,181820
,Mamadou,Sakho,80,183285
,Fabian,Delph,80,183427
,Cristhian,Stuani,80,186537
,Mateo,Musacchio,80,186547
,Sven,Ulreich,80,186569
,Alan,Dzagoev,80,187735
Camacho,Ignacio,Camacho Barnola,80,188005
,Ryad,Boudebouz,80,188388
,Nicolas,Nkoulou,80,188829
,Victor,Wanyama,80,188942
,Kevin,Trapp,80,188943
Susaeta,Markel,Susaeta Laskurain,80,189354
,Jack,Wilshere,80,189461
Muniain,Iker,Muniain Goñi,80,189575
,Ben,Mee,80,189682
Iago Falqué,Iago,Falqué Silva,80,190264
,Nathaniel,Clyne,80,190456
,Adem,Ljajić,80,190544
,Jeroen,Zoet,80,190778
,Kevin,Vogt,80,192641
Kike García,Enrique,García Martínez,80,192678
Mario Gaspar,Mario Gaspar,Pérez Martínez,80,192789
,Cenk,Tosun,80,192991
,Ricardo,Rodríguez,80,193352
,Younès,Belhanda,80,193738
,Daniel,Didavi,80,193886
Hugo Mallo,Hugo,Mallo Novegil,80,194229
,Andriy,Yarmolenko,80,194794
Sergi Enrich,Sergi,Enrich Ametller,80,194879
,Phil,Jones,80,194957
,Yaroslav,Rakitskyi,80,195861
,Daniel,Caligiuri,80,197083
,Alex,Oxlade-Chamberlain,80,198784
,Vincent,Aboubakar,80,199069
,Luis,Muriel,80,199110
,Domagoj,Vida,80,199206
,Dušan,Tadić,80,199434
Nolito,Manuel,Agudo Durán,80,199561
Cristian Tello,Cristian,Tello Herrera,80,200315
,Mark,Uth,80,200318
,Djibril,Sidibé,80,201042
,Milan,Badelj,80,201144
,Marcos,Rojo,80,201862
,Eric,Dier,80,202335
,James,Tarkowski,80,202695
,Jannik,Vestergaard,80,202849
,Karim,Bellarabi,80,202857
Héctor Bellerín,Héctor,Bellerín Moruno,80,203747
,Nick,Pope,80,203841
,John,Brooks,80,204082
,Eran,Zahavi,80,204399
Portu,Cristian,Portugues Manzanera,80,205070
,Takashi,Inui,80,205114
,Arkadiusz,Milik,80,205175
Bernard,Bernard Anício,Caldeira Duarte,80,205525
,Zouhair,Feddal,80,205705
,Taras,Stepanenko,80,206413
,Alassane,Pléa,80,206467
Sergio Rico,Sergio,Rico González,80,206652
,Matthias,Ginter,80,207862
,Sead,Kolašinac,80,207993
,Hakan,Çalhanoğlu,80,208128
,Emre,Can,80,208333
